tiempo_s,distancia_cm,bateria,luz,sonido,accion
0.61,300.0,80,33,12,parar
1.21,300.0,80,34,23,parar
1.93,300.0,80,33,11,parar
2.65,300.0,80,33,21,parar
3.37,300.0,80,33,17,parar
4.15,300.0,80,33,20,parar
4.81,300.0,80,33,6,parar
5.53,300.0,80,34,24,parar
6.13,300.0,80,34,4,parar
6.79,300.0,80,33,6,parar
7.45,300.0,80,33,8,parar
8.21,300.0,80,32,44,atras
8.92,300.0,80,32,7,parar
9.67,300.0,80,32,18,parar
10.33,300.0,80,32,5,parar
10.99,300.0,80,32,17,parar
11.8,300.0,80,32,76,adelante
12.55,300.0,80,34,76,adelante
13.24,300.0,80,43,84,derecha
13.91,300.0,80,41,56,adelante
14.68,125.2,80,42,72,izquierda
15.33,300.0,80,37,65,adelante
16.03,300.0,80,41,83,adelante
16.69,300.0,80,44,80,adelante
17.38,300.0,80,45,61,parar
18.19,300.0,80,45,18,parar
18.85,300.0,80,46,19,parar
19.51,300.0,80,45,8,parar
20.15,300.0,80,45,98,adelante
20.89,300.0,80,46,33,adelante
21.53,204.7,80,48,80,derecha
22.21,300.0,80,48,92,derecha
22.96,300.0,80,44,74,adelante
23.59,128.7,80,41,100,adelante
24.34,158.3,80,39,45,parar
25.01,300.0,80,41,67,izquierda
25.66,300.0,80,47,4,parar
26.44,300.0,80,47,32,adelante
27.25,300.0,80,47,56,adelante
27.91,77.7,80,47,70,adelante
28.51,68.6,80,48,100,adelante
29.11,126.2,80,48,92,adelante
29.8,114.9,80,47,10,parar
30.55,108.5,80,47,10,parar
31.15,108.5,80,47,16,parar
31.81,108.5,80,47,43,parar
32.5,108.5,80,46,91,adelante
33.34,99.9,80,44,5,parar
34.11,95.5,80,42,91,adelante
34.84,90.7,80,41,4,parar
35.51,82.7,80,41,68,izquierda
36.28,300.0,80,37,17,parar
36.97,300.0,80,37,10,parar
37.63,300.0,80,38,3,parar
