tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.59,300.0,50,80,43,22,parar
1.18,300.0,50,80,43,34,parar
1.96,300.0,50,80,43,31,parar
2.68,300.0,50,80,43,25,parar
3.4,300.0,50,80,42,8,parar
4.0,300.0,50,80,42,21,parar
4.6,300.0,50,80,41,9,parar
5.38,300.0,50,80,42,12,parar
6.16,300.0,50,80,43,28,parar
7.0,300.0,50,80,42,16,parar
7.72,300.0,50,80,41,8,parar
8.5,300.0,50,80,42,19,parar
9.34,300.0,50,80,42,35,parar
10.0,300.0,50,80,42,36,parar
10.66,300.0,50,80,42,14,parar
11.48,300.0,50,80,43,63,derecha
12.25,300.0,50,80,41,52,izquierda
13.03,152.6,50,80,42,66,parar
13.66,114.8,50,80,42,69,parar
14.38,300.0,50,80,42,32,parar
14.98,124.6,50,80,43,8,parar
15.58,300.0,50,80,43,6,parar
16.18,101.3,50,80,43,8,parar
16.9,300.0,50,80,43,9,parar
17.56,300.0,50,80,43,18,parar
18.16,300.0,50,80,43,11,parar
18.82,300.0,50,80,43,3,parar
19.45,300.0,50,80,42,76,adelante
20.08,100.5,50,80,46,97,adelante
20.74,109.7,50,80,47,100,adelante
21.52,108.7,50,80,48,100,adelante
22.18,300.0,50,80,48,95,adelante
22.87,300.0,50,80,48,35,parar
23.56,300.0,50,80,48,21,parar
24.26,300.0,50,80,45,77,derecha
24.91,110.7,50,80,42,41,parar
25.54,108.6,50,80,43,56,parar
26.14,109.1,50,80,43,28,parar
