tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.52,detenido,--,--,50,--
1.02,detenido,--,--,50,--
1.52,detenido,--,--,50,--
2.02,detenido,--,--,50,60
2.85,pista,--,recto,50,60
3.4,pista,--,recto,50,60
3.99,pista,--,perdida,50,60
4.71,pista,--,izquierda,50,60
5.49,pista,--,izquierda,50,60
6.1,pista,--,izquierda,50,60
6.63,pista,--,izquierda,50,60
7.17,pista,--,izquierda,50,60
8.08,pista,--,izquierda,50,60
8.61,pista,--,izquierda,50,60
9.21,pista,--,izquierda,50,60
10.06,pista,--,izquierda,50,60
